method,cluster,type,cramer,percent_change,delay,size
cluster_minilm_default,14,bertweet_sentiment,0.1367,2,1,46
cluster_minilm_default,24,textblob_sentiment,0.13654,0.5,1,41
cluster_minilm_default,29,textblob_sentiment,0.13653,1,3,61
cluster_mpnet_dbcv,0,textblob_sentiment,0.13638,1.5,2,189
cluster_distilbert_default,12,textblob_sentiment,0.13613,1.5,1,64
cluster_distilbert_default,12,textblob_sentiment,0.13613,2,1,64
cluster_use_default,4,textblob_sentiment,0.13591,2,3,96
cluster_minilm_default,1,textblob_sentiment,0.1357,2,2,39
cluster_minilm_default,0,bertweet_sentiment,0.1354,0,3,40
cluster_minilm_default,24,textblob_sentiment,0.13521,0,3,41
cluster_minilm_default,14,textblob_sentiment,0.1351,1.5,2,46
cluster_minilm_default,14,textblob_sentiment,0.1351,1,2,46
cluster_use_default,7,textblob_sentiment,0.13471,2,1,145
cluster_distilbert_default,17,textblob_sentiment,0.13466,1.5,1,73
cluster_minilm_default,21,bertweet_sentiment,0.13459,1.5,2,168
cluster_minilm_default,18,textblob_sentiment,0.13456,0.5,2,111
cluster_minilm_default,25,bertweet_sentiment,0.13454,1.5,2,70
cluster_minilm_default,25,bertweet_sentiment,0.13454,1,2,70
cluster_minilm_default,5,textblob_sentiment,0.13434,0.5,2,37
cluster_distilbert_default,13,bertweet_sentiment,0.1338,0,2,78
cluster_distilbert_default,3,textblob_sentiment,0.13373,0.5,1,76
cluster_distilbert_default,3,textblob_sentiment,0.13373,1,1,76
cluster_distilbert_default,12,textblob_sentiment,0.13365,1.5,2,64
cluster_minilm_default,22,textblob_sentiment,0.13358,1,3,83
cluster_minilm_default,21,bertweet_sentiment,0.13327,2,3,168
cluster_use_default,5,distilbert_sentiment,0.13292,0,1,52
cluster_distilbert_default,13,bertweet_sentiment,0.13271,1.5,3,78
cluster_distilbert_default,13,bertweet_sentiment,0.13271,2,3,78
cluster_use_default,3,distilbert_sentiment,0.1327,0,1,150
