,date,open,high,low,close,adj
2984,2020-02-01,131.36900350000002,143.91400149999998,130.6039965,143.05699900000002,143.05699900000002
2985,2020-02-02,133.05350525,150.57099925,132.65399574999998,149.5284995,149.5284995
2986,2020-02-03,134.738007,157.227997,134.703995,156.0,156.0
2987,2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003
2988,2020-02-05,164.651993,169.195999,140.82200600000002,146.940002,146.940002
2989,2020-02-06,139.983994,159.166,137.399994,149.792007,149.792007
2990,2020-02-07,146.110001,153.949997,146.0,149.613998,149.613998
2991,2020-02-08,153.0550005,158.973999,148.239998,151.9349975,151.9349975
2992,2020-02-09,156.52750025,161.486,149.35999700000002,153.09549725,153.09549725
2993,2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997
2994,2020-02-11,153.757996,156.701996,151.600006,154.87600700000002,154.87600700000002
2995,2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993
2996,2020-02-13,148.367996,163.600006,147.0,160.800003,160.800003
2997,2020-02-14,157.444,162.59399399999998,157.100006,160.005997,160.005997
2998,2020-02-15,162.8820035,167.29699699999998,161.786003,165.842995,165.842995
2999,2020-02-16,165.60100525000001,169.6484985,164.12900150000002,168.761494,168.761494
3000,2020-02-17,166.960506125,170.82424924999998,165.30050075000003,170.2207435,170.2207435
3001,2020-02-18,168.320007,172.0,166.472,171.679993,171.679993
3002,2020-02-19,184.699997,188.955994,180.203995,183.483994,183.483994
3003,2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004
3004,2020-02-21,181.395996,182.612,176.08999599999999,180.199997,180.199997
3005,2020-02-22,174.59799950000001,177.6559985,170.264999,173.4789965,173.4789965
3006,2020-02-23,171.19900125,175.17799775,167.3525005,170.11849625,170.11849625
3007,2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996
3008,2020-02-25,169.800003,171.320007,157.399994,159.98199499999998,159.98199499999998
3009,2020-02-26,156.5,162.662003,155.222,155.759995,155.759995
3010,2020-02-27,146.0,147.953995,133.800003,135.800003,135.800003
3011,2020-02-28,125.940002,138.104004,122.304001,133.598007,133.598007
3012,2020-02-29,134.0960005,143.4210055,129.81900050000002,141.161003,141.161003
3013,2020-03-01,138.17399975,146.07950625,133.57650025,144.942501,144.942501
